track_id,track_name,artists,track_genre,popularity,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,loudness,tempo
0PbqwOxRshUkoGOKFcO6z2,Lust for a Vampyr - Single Edit,I Monster,trip-hop,19,0.607,0.514,0.0276,0.00417,0.00606,0.138,0.366,-11.432,95.729
35lxFAny9XDBkvE6r9j4uG,Happiness,The 1975,alternative,70,0.662,0.905,0.0383,0.0529,0.0521,0.202,0.857,-5.036,117.997
2hGPfCRMjK2haWM6ja11XP,"OH NO,OH YES! - 2012 Remaster",Akina Nakamori,j-idol,41,0.609,0.794,0.0294,0.177,0.0689,0.0521,0.682,-7.096,138.096
6DQtdUrKRUuJDNCvItFWZK,Bloat,The Widdler,dubstep,22,0.621,0.755,0.038,0.0125,0.403,0.231,0.196,-7.492,140.01
7JZYv0kbkfPdTdpCU9P7KD,Don't Dream It's Over,The Head And The Heart,folk,1,0.433,0.73,0.0315,0.0824,2.03e-06,0.105,0.348,-4.934,84.142
65jxTo343ORwsnyEQSoFzt,Cake,Juls;Mr Eazi,dancehall,0,0.889,0.514,0.17,0.134,0.0,0.0859,0.586,-6.38,104.976
3uW4BXrHwSjDRZW6YKSWzL,Atlantic City - Soundtrack Version,Randy Newman,disney,20,0.654,0.23,0.0317,0.556,0.0311,0.168,0.614,-14.256,75.415
5IuwQPQrFTVrubzx1x1jyQ,Mirabel's Cumbia,Germaine Franco,disney,19,0.661,0.525,0.0313,0.562,0.679,0.0617,0.934,-8.495,97.99
3FVy3aVs0TFzLv6FEiLqC2,Dream 1 (before the wind blows it all away) - Pt. 1,Max Richter,ambient,55,0.214,0.00144,0.0487,0.995,0.968,0.0998,0.0866,-39.869,72.046
3b0cJPguhWOh2hjY6Lu192,The Beat,Mike Williams,progressive-house,57,0.563,0.954,0.0283,0.119,0.168,0.27,0.788,-1.835,128.014
1ptN31lBfOZKJPsQMm1Whb,Anjuli,Hapa,guitar,21,0.562,0.158,0.0585,0.965,0.924,0.103,0.259,-15.77,109.522
6O1VWYPfl85dDeKiaCJKza,Chiru Chiru,Yuvan Shankar Raja;Haricharan;Sagar Desai,k-pop,62,0.722,0.496,0.0327,0.223,0.000507,0.103,0.645,-7.554,92.007
1KvyBpAxgllKW7bQb0GYCR,Halfway Right,Linkin Park,grunge,54,0.655,0.626,0.045,0.0134,0.0,0.349,0.498,-7.155,134.028
4f8mIikzaT5Aw3tV5ftwvL,LA CANCIÓN,J Balvin;Bad Bunny,reggaeton,0,0.756,0.646,0.319,0.152,1.81e-05,0.108,0.429,-5.795,176.088
3RqU6RJ9TiTN0AAGiaq7hR,Poison,44phantom,sad,52,0.722,0.699,0.0274,0.196,0.00462,0.111,0.613,-4.169,112.033
2JnVkJsUnBs7kyvVzD8E6L,Conselho,Samba De Raiz,samba,34,0.628,0.832,0.194,0.675,0.0,0.673,0.92,-9.268,96.201
3vzdaUwY9ouQ2jyJw5ITff,Stained Materials - Edit,Blackhaine,club,17,0.553,0.508,0.449,0.0443,0.0,0.0806,0.487,-9.668,89.417
5SiRYaW7H4xwnbkKBxq56l,Check Em,A.Skillz;Krafty Kuts,breakbeat,17,0.789,0.767,0.127,0.00224,0.76,0.0906,0.937,-7.056,95.011
